State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Total_Votes,Latitude,Longitude,Neighbours,Neighbour_Count,APC_outlier_score,PDP_outlier_score,LP_outlier_score,NNPP_outlier_score,Overall_Outlier_Score,APC_share,PDP_share,NNPP_share,LP_share
KWARA,IFELODUN,SHARE 11,23-05-10-011,"SHARIAH COURT OF APPEAL, SHARE",43,110,2,0,155,8.8228182,4.9688589,"['23-03-07-001', '23-03-07-002', '23-05-09-001', '23-05-09-003', '23-05-09-004', '23-05-09-005', '23-05-09-006', '23-05-10-001', '23-05-10-002', '23-05-10-003', '23-05-10-004', '23-05-10-005', '23-05-10-006', '23-05-10-007', '23-05-10-008', '23-05-09-009', '23-05-09-012', '23-05-09-013', '23-05-10-010', '23-05-10-013']",20,2.493492682,2.894642383,0.933280471,0.481208274,0.983696704,28%,71%,0%,1%
KWARA,ILORIN EAST,IBAGUN,23-06-04-015,ODE BANIGBE (DADA K),0,0,0,0,0,8.5165005,4.5407797,"['23-06-04-004', '23-06-04-005', '23-06-04-007', '23-06-04-008', '23-06-04-017', '23-06-04-018', '23-06-04-021', '23-06-04-024', '23-06-04-026', '23-06-04-027', '23-06-04-029', '23-06-04-030', '23-06-04-031', '23-06-04-032']",14,3.389038624,2.869331158,0.762801467,0.657735577,1.418178459,0%,0%,0%,0%
KWARA,ILORIN-SOUTH,BALOGUN-FULANI 111,23-07-08-010,"OPEN SPACE, ILE ALERI GBABIABIDUN AREA",15,61,1,0,77,8.4919386,4.5637321,"['23-06-08-002', '23-06-12-009', '23-07-07-001', '23-07-07-002', '23-07-07-003', '23-07-07-004', '23-07-07-005', '23-07-07-006', '23-07-07-007', '23-07-07-008', '23-07-07-009', '23-07-07-010', '23-07-08-001', '23-07-08-002', '23-07-08-003', '23-07-08-004', '23-07-08-005', '23-07-08-006', '23-07-08-007', '23-07-08-008', '23-07-09-001', '23-07-09-002', '23-07-09-003', '23-07-09-004', '23-07-09-005', '23-07-09-006', '23-07-09-007', '23-07-09-008', '23-07-09-009', '23-07-09-010', '23-07-09-011', '23-07-09-012', '23-06-08-025', '23-06-12-027', '23-07-07-011', '23-07-07-012', '23-07-07-013', '23-07-07-014', '23-07-07-015', '23-07-09-013', '23-07-09-015', '23-07-09-016', '23-07-09-017', '23-07-09-018', '23-07-09-021', '23-07-08-011', '23-07-08-012', '23-07-08-013', '23-07-08-014', '23-07-08-015', '23-07-08-016', '23-07-08-017']",52,2.231639553,2.780990381,0.613942189,0.203862772,0.570827767,19%,79%,0%,1%
KWARA,ILORIN-WEST,BALOGUN ALANAMU CENTRAL,23-08-05-049,ODE KARATU II,31,2,1,0,34,8.4936517,4.5340805,"['23-08-01-007', '23-08-01-008', '23-08-01-016', '23-08-01-017', '23-08-02-001', '23-08-02-011', '23-08-05-001', '23-08-05-002', '23-08-05-003', '23-08-05-005', '23-08-05-006', '23-08-05-007', '23-08-05-008', '23-08-05-009', '23-08-05-010', '23-08-05-011', '23-08-05-012', '23-08-05-013', '23-08-05-014', '23-08-05-015', '23-08-05-016', '23-08-05-017', '23-08-05-019', '23-08-05-020', '23-08-05-021', '23-08-05-022', '23-08-05-023', '23-08-05-024', '23-08-05-025', '23-08-05-026', '23-08-05-027', '23-08-05-028', '23-08-05-029', '23-08-05-030', '23-08-05-031', '23-08-05-032', '23-08-05-034', '23-08-05-035', '23-08-05-036', '23-08-05-037', '23-08-05-038', '23-08-05-039', '23-08-05-040', '23-08-05-041', '23-08-05-042', '23-08-05-043', '23-08-05-044', '23-08-05-045', '23-08-02-049', '23-08-05-046', '23-08-05-051', '23-08-05-058', '23-08-05-061', '23-08-05-063', '23-08-05-064', '23-08-09-045', '23-08-05-052', '23-08-05-050', '23-08-05-053', '23-08-05-054', '23-08-05-056', '23-08-05-059', '23-08-05-066', '23-08-05-057', '23-08-05-062', '23-08-05-067']",66,2.599002895,2.648670494,0.917659823,0.213938883,0.928628818,91%,6%,0%,3%
KWARA,ILORIN-WEST,OKO-ERIN,23-08-10-033,OPEN SPACE OPP C.A.C TAIWO ROAD,0,5,2,0,7,8.482515,4.5494226,"['23-07-09-007', '23-07-09-008', '23-07-10-001', '23-07-10-002', '23-07-10-003', '23-07-10-004', '23-07-10-005', '23-07-10-006', '23-07-10-007', '23-07-10-008', '23-07-10-009', '23-07-10-010', '23-07-10-011', '23-08-04-001', '23-06-04-053', '23-07-03-036', '23-07-10-012', '23-07-10-013', '23-07-10-014', '23-07-10-015', '23-07-10-016', '23-07-10-017', '23-07-10-018', '23-08-04-020', '23-08-04-017', '23-08-01-033', '23-08-04-030', '23-08-10-034', '23-08-10-041', '23-08-10-047']",30,1.917614707,2.619598171,1.021750897,0.513323211,0.872234186,0%,71%,0%,29%
KWARA,MORO,BODE-SAADU,23-12-02-013,OPEN SPACE BUKA/TAPA OLOGORO,5,23,0,0,28,9.0491121,4.7070616,"['23-12-02-001', '23-12-02-002', '23-12-02-006', '23-12-02-007', '23-12-02-008', '23-12-02-009', '23-12-02-010', '23-12-02-011', '23-12-02-012']",9,1.528133729,2.496004236,0.870404214,0.316227766,0.652920281,18%,82%,0%,0%
KWARA,ILORIN-SOUTH,AKANBI -V,23-07-05-036,"OPEN SPACE, ARAROMI COMMUNITY, OKO-OLOWO AREA",101,75,0,0,176,8.5176279,4.5938717,"['23-07-05-004', '23-07-05-005', '23-07-05-006', '23-07-05-008', '23-07-05-009', '23-07-05-010', '23-07-05-017', '23-07-05-022', '23-07-05-028', '23-07-05-029', '23-07-05-030', '23-07-05-032']",12,0.792082252,2.489628108,1.245683997,0.654160458,1.490215497,57%,43%,0%,0%
KWARA,IFELODUN,ORO-AGO,23-05-07-013,COMM SCH OKE-OWA,29,16,1,0,46,8.3333342,5.2331931,"['23-05-07-002', '23-05-07-003', '23-05-07-005', '23-05-07-009', '23-05-07-010', '23-05-07-014', '23-05-07-016', '23-05-07-017', '23-05-07-018', '23-05-07-019', '23-05-07-021']",11,1.527797579,2.437712014,1.251135512,0.386197227,1.263985109,63%,35%,0%,2%
KWARA,ILORIN EAST,BALOGUN GAMBARI 11,23-06-03-001,ODE WAZIRI GOBIR I,0,0,0,0,0,8.6083453,4.7898731,"['23-06-03-002', '23-06-03-003', '23-06-03-004', '23-06-03-007', '23-06-03-013', '23-06-03-014', '23-06-03-015', '23-06-03-016', '23-06-03-017', '23-06-03-018', '23-06-03-020', '23-06-03-021', '23-06-03-022', '23-06-03-023', '23-06-03-024', '23-06-03-026', '23-06-03-028']",17,2.472095615,2.427857322,0.28180898,0.556525887,0.953685595,0%,0%,0%,0%
KWARA,ILORIN-WEST,WARRAH/EGBE JILA/OSHIN,23-08-12-009,ODORE VILLAGE,120,116,23,1,260,8.4248125,4.5727598,"['23-08-12-001', '23-08-12-002', '23-08-12-004', '23-08-12-005', '23-08-12-006', '23-08-12-008', '23-08-12-010', '23-08-12-012', '23-08-12-013', '23-08-12-014', '23-08-12-015', '23-08-12-016', '23-08-12-017', '23-08-12-018', '23-08-12-020', '23-08-12-021', '23-08-12-023', '23-08-12-024', '23-08-12-028', '23-08-12-034', '23-08-12-035', '23-08-12-025', '23-08-12-039', '23-08-12-026', '23-08-12-033', '23-08-12-038', '23-08-12-032', '23-08-12-030', '23-08-12-031']",29,1.276645875,2.390425504,0.684647005,0.756165222,1.41357307,46%,45%,0%,9%
KWARA,EDU,LAFIAGI 1,23-03-01-001,L.G.E.A SCH SOMASUN I,0,0,0,0,0,8.8742027,5.4253757,"['23-03-01-003', '23-03-01-006', '23-03-01-009', '23-03-01-010', '23-03-01-012', '23-03-01-013', '23-03-01-014', '23-03-01-015', '23-03-01-016', '23-03-01-017', '23-03-01-018', '23-03-01-019', '23-03-01-020']",13,2.736451189,2.358323946,0.705135091,1.076606417,1.420542275,0%,0%,0%,0%
KWARA,OFFA,OJOMU NORTH/NORTH WEST,23-13-08-006,OPEN SPACE OLUOLO,153,44,2,0,199,8.1776566,4.70189,"['23-13-08-001', '23-13-08-002', '23-13-08-005', '23-13-08-007', '23-13-08-008', '23-13-08-009', '23-13-08-010', '23-13-08-011', '23-13-08-012', '23-13-08-013', '23-13-08-016', '23-13-08-017', '23-13-08-018', '23-13-08-020', '23-13-08-021', '23-13-08-015']",16,0.379893127,2.356567234,1.587215995,0.404401643,1.685951357,77%,22%,0%,1%
