State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Total_Votes,Latitude,Longitude,Neighbours,Neighbour_Count,APC_outlier_score,PDP_outlier_score,LP_outlier_score,NNPP_outlier_score,Overall_Outlier_Score,APC_share,PDP_share,NNPP_share,LP_share
KWARA,ILORIN-SOUTH,OKE-OGUN,23-07-11-006,ODE AYIPO,150,115,3,0,268,8.4741519,4.6286251,"['23-07-04-006', '23-07-04-007', '23-07-04-008', '23-07-04-009', '23-07-04-010', '23-07-04-012', '23-07-04-013', '23-07-04-015', '23-07-04-017', '23-07-04-020', '23-07-04-021', '23-07-04-022', '23-07-04-023', '23-07-04-024', '23-07-04-025', '23-07-11-002', '23-07-11-003', '23-07-11-007', '23-07-11-008', '23-07-11-009', '23-07-11-010', '23-07-11-011', '23-07-03-028', '23-07-04-033', '23-07-04-041', '23-07-04-047', '23-07-04-049', '23-07-04-050', '23-07-11-014', '23-07-11-015', '23-07-11-016', '23-07-11-017']",32,0.228659331,1.279291788,1.010359077,0.543700423,1.269110798,56%,43%,0%,1%
KWARA,OYUN,IPEE,23-15-10-012,OPEN SPACE ORIWO-IPEE,10,3,11,0,24,8.1648098,4.7523337,"['23-15-08-001', '23-15-08-002', '23-15-10-001', '23-15-10-002', '23-15-10-003', '23-15-10-006', '23-15-10-007', '23-15-08-007', '23-15-08-009', '23-15-10-008', '23-15-10-009', '23-15-10-011']",12,1.61273588,1.277655508,1.993524437,0.597259833,1.813510495,42%,13%,0%,46%
KWARA,OKE - ERO,AIYEDUN,23-14-01-007,ODE EDE,96,71,12,1,180,8.0639216,5.1067314,"['23-14-01-002', '23-14-01-003', '23-14-01-004', '23-14-01-005', '23-14-01-006', '23-14-01-008']",6,1.641394497,1.274567061,0.220672652,0.353437842,1.031709447,53%,39%,1%,7%
KWARA,ILORIN EAST,MAYA/ILE-APA,23-06-10-009,OHA L.G.E.A. SCH,9,23,0,1,33,8.5106415,4.7174062,"['23-06-10-001', '23-06-10-002', '23-06-10-003', '23-06-10-004', '23-06-10-005', '23-06-10-007', '23-06-10-008', '23-06-10-011', '23-06-10-012', '23-06-10-013', '23-06-10-017', '23-06-10-019', '23-06-10-020', '23-06-10-021']",14,0.976907839,1.273747883,0.439888137,3.389262752,0.952075201,27%,70%,3%,0%
KWARA,ILORIN-WEST,UBANDAWAKI,23-08-11-002,OJUDE ALADIRE,157,18,0,0,175,8.4939494,4.5083097,"['23-08-01-006', '23-08-03-007', '23-08-03-008', '23-08-03-009', '23-08-03-010', '23-08-03-011', '23-08-03-012', '23-08-03-013', '23-08-06-001', '23-08-06-007', '23-08-06-015', '23-08-06-016', '23-08-06-017', '23-08-10-015', '23-08-10-018', '23-08-10-024', '23-08-11-001', '23-08-11-004', '23-08-11-006', '23-08-11-007', '23-08-11-008', '23-08-11-009', '23-08-01-027', '23-08-03-018', '23-08-06-021', '23-08-10-026', '23-08-11-010', '23-08-11-012', '23-08-11-013', '23-08-11-015', '23-08-11-017', '23-08-11-021', '23-08-03-014', '23-08-10-029', '23-08-11-011', '23-08-11-018', '23-08-03-019', '23-08-03-023', '23-08-11-014', '23-08-11-019', '23-08-11-016', '23-08-03-020', '23-08-03-021', '23-08-03-022', '23-08-10-044']",45,1.784514004,1.270132941,0.530278512,0.455654878,0.803657034,90%,10%,0%,0%
KWARA,ILORIN EAST,IBAGUN,23-06-04-039,AKEREBIATA JUNIOR SEC SCH L.G.E.A,20,3,1,0,24,8.5122522,4.5521385,"['23-06-04-004', '23-06-04-005', '23-06-04-007', '23-06-04-008', '23-06-04-010', '23-06-04-017', '23-06-04-018', '23-06-04-021', '23-06-04-024', '23-06-04-026', '23-06-04-027', '23-06-04-029', '23-06-04-034', '23-06-04-037', '23-06-04-040', '23-06-04-041', '23-06-04-042', '23-06-04-045', '23-06-04-047']",19,1.87784274,1.267268399,0.128240927,0.450365904,0.938774838,83%,13%,0%,4%
KWARA,IREPODUN,OKO,23-09-11-003,ILE PETU OKO,187,58,68,4,317,8.1584617,5.1614534,"['23-09-11-002', '23-09-11-004', '23-09-11-005', '23-09-11-006']",4,0.800037365,1.266819988,0.57966073,0.89773316,2.234259792,59%,18%,1%,21%
KWARA,ILORIN EAST,IBAGUN,23-06-04-017,ODE ONDUGBE OKELELE,166,122,1,0,289,8.512175,4.5477392,"['23-06-04-004', '23-06-04-005', '23-06-04-007', '23-06-04-008', '23-06-04-010', '23-06-04-015', '23-06-04-018', '23-06-04-021', '23-06-04-024', '23-06-04-026', '23-06-04-027', '23-06-04-029', '23-06-04-034', '23-06-04-037', '23-06-04-039', '23-06-04-040', '23-06-04-041', '23-06-04-042', '23-06-04-045', '23-06-04-047']",20,0.357429363,1.263673612,0.453118881,0.437842422,1.010983246,57%,42%,0%,0%
KWARA,ILORIN-WEST,BALOGUN ALANAMU CENTRAL,23-08-05-015,ODE EBO DANIYAN,101,33,1,0,135,8.4936517,4.5340805,"['23-08-01-007', '23-08-01-008', '23-08-01-016', '23-08-01-017', '23-08-02-001', '23-08-02-011', '23-08-05-001', '23-08-05-002', '23-08-05-003', '23-08-05-005', '23-08-05-006', '23-08-05-007', '23-08-05-008', '23-08-05-009', '23-08-05-010', '23-08-05-011', '23-08-05-012', '23-08-05-013', '23-08-05-014', '23-08-05-016', '23-08-05-017', '23-08-05-019', '23-08-05-020', '23-08-05-021', '23-08-05-022', '23-08-05-023', '23-08-05-024', '23-08-05-025', '23-08-05-026', '23-08-05-027', '23-08-05-028', '23-08-05-029', '23-08-05-030', '23-08-05-031', '23-08-05-032', '23-08-05-034', '23-08-05-035', '23-08-05-036', '23-08-05-037', '23-08-05-038', '23-08-05-039', '23-08-05-040', '23-08-05-041', '23-08-05-042', '23-08-05-043', '23-08-05-044', '23-08-05-045', '23-08-02-049', '23-08-05-046', '23-08-05-049', '23-08-05-051', '23-08-05-058', '23-08-05-061', '23-08-05-063', '23-08-05-064', '23-08-09-045', '23-08-05-052', '23-08-05-050', '23-08-05-053', '23-08-05-054', '23-08-05-056', '23-08-05-059', '23-08-05-066', '23-08-05-057', '23-08-05-062', '23-08-05-067']",66,1.394387219,1.261609451,0.122189815,0.213938883,0.409862363,75%,24%,0%,1%
KWARA,ILORIN-SOUTH,AKANBI -1V,23-07-04-012,TANKE GOVT DAY SEC SCH I,89,21,99,4,213,8.4741543,4.6286218,"['23-07-04-006', '23-07-04-007', '23-07-04-008', '23-07-04-009', '23-07-04-010', '23-07-04-013', '23-07-04-015', '23-07-04-017', '23-07-04-020', '23-07-04-021', '23-07-04-022', '23-07-04-023', '23-07-04-024', '23-07-04-025', '23-07-11-002', '23-07-11-003', '23-07-11-006', '23-07-11-007', '23-07-11-008', '23-07-11-009', '23-07-11-010', '23-07-11-011', '23-07-03-028', '23-07-04-033', '23-07-04-041', '23-07-04-047', '23-07-04-049', '23-07-04-050', '23-07-11-014', '23-07-11-015', '23-07-11-016', '23-07-11-017']",32,0.794168451,1.261527426,1.80888055,1.821712729,1.8578199,42%,10%,2%,46%
KWARA,IFELODUN,SHARE 111,23-05-11-008,OPEN SPACE AWUWO   LOMA,110,8,2,0,120,8.843643,4.8468784,"['23-05-11-001', '23-05-11-002', '23-05-11-003', '23-05-11-004', '23-05-11-005', '23-05-11-006', '23-05-11-007', '23-05-11-009', '23-05-11-010']",9,1.427414801,1.258963776,0.866005208,0.316227766,0.597260991,92%,7%,0%,2%
KWARA,ILORIN EAST,MAGAJI ARE 1,23-06-07-023,IDI APE MARKET III,147,28,1,0,176,8.497931,4.548582,"['23-06-02-001', '23-06-02-002', '23-06-02-003', '23-06-02-004', '23-06-02-005', '23-06-02-006', '23-06-02-007', '23-06-02-008', '23-06-02-009', '23-06-02-010', '23-06-02-011', '23-06-02-012', '23-06-02-013', '23-06-02-014', '23-06-02-015', '23-06-02-016', '23-06-04-010', '23-06-07-001', '23-06-07-002', '23-06-07-003', '23-06-07-004', '23-06-07-005', '23-06-07-008', '23-06-07-009', '23-06-07-010', '23-06-07-011', '23-06-07-012', '23-06-07-013', '23-06-07-014', '23-06-07-015', '23-06-07-016', '23-06-07-017', '23-06-07-018', '23-06-07-019', '23-06-07-020', '23-06-07-021', '23-06-07-022', '23-06-07-024', '23-06-07-025', '23-07-06-001', '23-07-06-002', '23-07-06-003', '23-07-06-004', '23-07-06-005', '23-07-06-006', '23-07-06-007', '23-07-06-008', '23-07-06-009', '23-07-06-011', '23-07-06-013', '23-07-06-014', '23-07-06-015', '23-07-06-016', '23-07-06-017', '23-07-06-018', '23-07-11-005', '23-07-11-013', '23-08-05-004', '23-08-05-020', '23-08-06-002', '23-08-06-003', '23-08-06-004', '23-08-06-005', '23-08-06-006', '23-08-06-008', '23-08-06-009', '23-08-06-010', '23-08-06-011', '23-08-06-012', '23-08-06-013', '23-08-06-014', '23-08-09-011', '23-08-09-013', '23-06-02-017', '23-06-02-018', '23-06-02-020', '23-06-02-021', '23-06-02-022', '23-06-02-023', '23-06-04-034', '23-06-04-042', '23-06-07-026', '23-06-07-028', '23-06-07-029', '23-06-07-030', '23-06-07-031', '23-06-07-032', '23-06-07-033', '23-06-07-034', '23-06-07-035', '23-06-12-027', '23-07-06-019', '23-07-06-020', '23-07-11-019', '23-08-05-060', '23-08-06-019', '23-08-06-022', '23-08-06-023', '23-08-06-024', '23-08-06-026', '23-08-06-027', '23-08-06-018', '23-08-06-020', '23-08-06-025']",104,1.387461808,1.255163542,0.347263052,0.405607049,0.611807885,84%,16%,0%,1%
KWARA,ILORIN-WEST,AJIKOBI,23-08-02-062,OPEN SPACE ILE OLOBI,10,26,0,0,36,8.5032764,4.5302141,"['23-08-02-001', '23-08-02-003', '23-08-02-006', '23-08-02-007', '23-08-02-008', '23-08-02-009', '23-08-02-011', '23-08-02-012', '23-08-02-013', '23-08-02-014', '23-08-02-015', '23-08-02-016', '23-08-02-017', '23-08-02-018', '23-08-02-019', '23-08-02-020', '23-08-02-021', '23-08-02-022', '23-08-02-023', '23-08-02-024', '23-08-02-025', '23-08-02-026', '23-08-02-027', '23-08-02-029', '23-08-02-030', '23-08-02-032', '23-08-02-033', '23-08-02-034', '23-08-02-035', '23-08-02-036', '23-08-02-037', '23-08-02-038', '23-08-02-039', '23-08-02-040', '23-08-05-029', '23-08-05-034', '23-08-05-039', '23-08-09-001', '23-08-09-002', '23-08-09-003', '23-08-09-004', '23-08-09-005', '23-08-09-008', '23-08-09-012', '23-08-09-014', '23-08-09-015', '23-08-09-016', '23-08-09-017', '23-08-09-018', '23-08-09-019', '23-08-09-020', '23-08-09-021', '23-08-09-022', '23-08-09-023', '23-08-09-024', '23-08-09-026', '23-08-09-028', '23-08-09-029', '23-08-09-032', '23-08-09-033', '23-08-09-034', '23-08-02-042', '23-08-02-045', '23-08-02-046', '23-08-02-048', '23-08-02-049', '23-08-02-051', '23-08-02-052', '23-08-02-053', '23-08-02-054', '23-08-02-055', '23-08-02-056', '23-08-02-057', '23-08-02-059', '23-08-02-064', '23-08-02-067', '23-08-02-069', '23-08-09-035', '23-08-09-036', '23-08-09-038', '23-08-09-039', '23-08-09-041', '23-08-09-043', '23-08-09-044', '23-08-09-045', '23-08-09-046', '23-08-02-043', '23-08-02-044', '23-08-02-047', '23-08-02-050', '23-08-02-060', '23-08-02-061', '23-08-02-063', '23-08-02-058', '23-08-09-037', '23-08-09-040', '23-08-09-042', '23-08-09-047', '23-08-02-065', '23-08-02-068', '23-08-05-059', '23-08-10-045']",102,0.914739289,1.254831706,0.169723654,0.383083463,0.740390006,28%,72%,0%,0%
KWARA,EKITI,OPIN,23-04-09-002,"L.G.E.A SCH, IKERIN II",79,87,7,1,174,8.1048899,5.233573,"['23-04-09-001', '23-04-09-007', '23-04-09-008']",3,1.415205456,1.254436813,0.038231245,1.5,0.290200943,45%,50%,1%,4%
KWARA,ASA,YOWERE 11/OKEWERU,23-01-05-006,OGUNLOMA/GAA GBURUKU COMMUNITY HALL,85,144,0,0,229,8.6695988,4.2435893,"['23-01-05-001', '23-01-05-003', '23-01-05-004', '23-01-05-005']",4,1.211264442,1.254072001,0,0.447213595,0.449094057,37%,63%,0%,0%
KWARA,ILORIN EAST,ZANGO,23-06-12-028,OPEN  SPACE OMOLABI MORUFI,23,22,0,0,45,8.5041799,4.5701803,"['23-06-12-001', '23-06-12-002', '23-06-12-003', '23-06-12-004', '23-06-12-005', '23-06-12-006', '23-06-12-010', '23-06-12-011', '23-06-12-012', '23-06-12-014', '23-06-12-015', '23-06-12-016', '23-06-12-017', '23-06-12-018', '23-06-03-027', '23-06-08-030', '23-06-12-019', '23-06-12-020', '23-06-12-022', '23-06-12-023', '23-06-12-024', '23-06-12-025', '23-06-12-026', '23-06-12-029', '23-06-12-030', '23-06-12-031']",26,0.943546948,1.252428328,0.460209067,0.770615819,0.883174219,51%,49%,0%,0%
KWARA,ILORIN EAST,MAGAJI ARE 11,23-06-08-009,GOVT SEC SCH ILORIN III,64,15,47,1,127,8.5373356,4.5443923,"['23-06-04-001', '23-06-04-002', '23-06-04-011', '23-06-04-012', '23-06-04-013', '23-06-04-014', '23-06-04-019', '23-06-04-020', '23-06-04-022', '23-06-04-023', '23-06-08-007', '23-06-08-008', '23-06-08-016', '23-06-08-017', '23-06-08-018', '23-06-08-019', '23-06-12-013', '23-08-04-013', '23-08-10-021', '23-06-04-025', '23-06-04-028', '23-06-04-033', '23-06-04-036', '23-06-04-038', '23-06-04-043', '23-06-04-048', '23-06-04-049', '23-06-04-050', '23-06-04-051', '23-06-04-052', '23-06-04-054', '23-06-04-055', '23-06-04-056', '23-06-04-057', '23-06-04-058']",35,0.927168183,1.247684365,1.969274174,0.625939098,1.024182388,50%,12%,1%,37%
KWARA,ILORIN-SOUTH,OKAKA 11,23-07-10-017,"OPEN SPACE, ODE-DAODU SUNNARA NIGER ROAD",24,31,5,0,60,8.4856705,4.553241,"['23-07-09-001', '23-07-09-002', '23-07-09-003', '23-07-09-004', '23-07-09-005', '23-07-09-006', '23-07-09-007', '23-07-09-008', '23-07-09-009', '23-07-09-010', '23-07-09-011', '23-07-09-012', '23-07-10-001', '23-07-10-002', '23-07-10-003', '23-07-10-004', '23-07-10-005', '23-07-10-006', '23-07-10-007', '23-07-10-008', '23-07-10-009', '23-07-10-010', '23-07-10-011', '23-07-11-005', '23-07-11-013', '23-08-04-001', '23-07-03-036', '23-07-07-011', '23-07-07-013', '23-07-10-012', '23-07-10-013', '23-07-10-014', '23-07-10-015', '23-07-10-016', '23-07-10-018', '23-07-11-019', '23-07-09-013', '23-07-09-015', '23-07-09-017', '23-07-09-018', '23-07-09-021', '23-08-04-020', '23-08-10-033', '23-08-04-017', '23-08-01-033', '23-08-04-030', '23-08-10-034', '23-08-10-041', '23-08-10-047']",49,0.346905006,1.245317594,0.28493799,0.188332064,0.386867984,40%,52%,0%,8%
KWARA,IREPODUN,OMU-ARAN 111 (IFAJA),23-09-08-005,ITA OKORE OMU-ARAN,86,93,15,0,194,8.1449371,5.0973967,"['23-09-03-006', '23-09-06-001', '23-09-06-002', '23-09-06-003', '23-09-06-004', '23-09-06-005', '23-09-06-006', '23-09-06-007', '23-09-06-008', '23-09-06-009', '23-09-06-010', '23-09-07-001', '23-09-07-002', '23-09-07-003', '23-09-07-005', '23-09-07-006', '23-09-07-009', '23-09-07-010', '23-09-08-001', '23-09-08-002', '23-09-08-003', '23-09-08-004', '23-09-08-006', '23-09-08-007', '23-09-08-008', '23-09-08-009', '23-09-08-010', '23-09-08-012', '23-09-08-013', '23-09-08-017', '23-09-07-013', '23-09-07-014', '23-09-07-015', '23-09-07-016', '23-09-07-017']",35,0.26442419,1.244169347,0.738825371,0.467914089,0.852827926,44%,48%,0%,8%
KWARA,ILORIN-WEST,MAGAJI NGERI,23-08-06-018,ODE ALASALUTA JIMBA GEGELE,21,33,2,0,56,8.4941939,4.5463259,"['23-06-02-002', '23-06-02-003', '23-06-07-001', '23-06-07-002', '23-06-07-003', '23-06-07-004', '23-06-07-005', '23-06-07-008', '23-06-07-009', '23-06-07-010', '23-06-07-011', '23-06-07-012', '23-06-07-013', '23-06-07-014', '23-06-07-015', '23-06-07-016', '23-06-07-017', '23-06-07-018', '23-06-07-019', '23-06-07-020', '23-06-07-021', '23-06-07-022', '23-06-07-023', '23-06-07-024', '23-06-07-025', '23-07-06-001', '23-07-06-002', '23-07-06-003', '23-07-06-004', '23-07-06-005', '23-07-06-006', '23-07-06-007', '23-07-06-008', '23-07-06-009', '23-07-06-011', '23-07-06-013', '23-07-06-014', '23-07-06-015', '23-07-06-016', '23-07-06-017', '23-07-06-018', '23-07-11-005', '23-07-11-013', '23-08-03-005', '23-08-05-004', '23-08-05-020', '23-08-06-002', '23-08-06-003', '23-08-06-004', '23-08-06-005', '23-08-06-006', '23-08-06-008', '23-08-06-009', '23-08-06-010', '23-08-06-011', '23-08-06-012', '23-08-06-013', '23-08-06-014', '23-08-09-011', '23-08-09-013', '23-06-02-018', '23-06-07-026', '23-06-07-028', '23-06-07-029', '23-06-07-030', '23-06-07-031', '23-06-07-032', '23-06-07-033', '23-06-07-034', '23-06-07-035', '23-07-06-019', '23-07-06-020', '23-07-11-019', '23-08-03-015', '23-08-03-016', '23-08-03-026', '23-08-05-060', '23-08-06-019', '23-08-06-022', '23-08-06-023', '23-08-06-024', '23-08-06-026', '23-08-06-027', '23-08-06-020', '23-08-03-025', '23-08-06-025']",86,0.967942402,1.242541322,0.136329281,0.367728664,0.697020878,38%,59%,0%,4%
KWARA,ISIN,ISANLU 1,23-10-03-002,ST JOSEPH'S L.G.E.A SCH,44,24,30,0,98,8.1786706,5.0702794,"['23-10-03-003', '23-10-03-006', '23-10-03-007']",3,0.042658057,1.234536149,1.417628612,0.5,1.272197218,45%,24%,0%,31%
KWARA,IREPODUN,ORO 11,23-09-10-017,"BINUKUNO MULTIPURPOSE HOUSE, ORO",64,44,43,6,157,8.2258193,4.8922654,"['23-09-02-014', '23-09-10-004', '23-09-10-005', '23-09-10-006', '23-09-10-007', '23-09-10-008', '23-09-10-014', '23-09-10-016', '23-09-10-018', '23-09-10-019']",10,2.09022314,1.231747934,1.915215863,1.85974617,1.454055634,41%,28%,4%,27%
KWARA,OYUN,IRRA,23-15-04-006,LGEA SCHOOL IRRA FERE,30,38,13,1,82,8.0915718,4.6088854,"['23-15-04-001', '23-15-04-002', '23-15-04-003', '23-15-04-004', '23-15-04-007', '23-15-04-008']",6,1.730926011,1.230989692,1.969925967,1.741393967,0.935254629,37%,46%,1%,16%
KWARA,ILORIN-WEST,OKO-ERIN,23-08-10-014,L.G.E.A SCH GAA IMMAN,106,54,29,0,189,8.4635214,4.5366582,"['23-08-10-001', '23-08-10-002', '23-08-10-008', '23-08-10-012', '23-08-10-016', '23-08-10-017', '23-08-10-028', '23-08-10-036', '23-08-10-039', '23-08-10-040', '23-08-10-042', '23-08-10-043', '23-08-10-049', '23-08-10-046', '23-08-10-032']",15,0.561259577,1.230888272,0.686613501,0.632910654,0.78533375,56%,29%,0%,15%
KWARA,IFELODUN,SHARE V,23-05-13-008,ST MARTIN'S SCH ADIO,195,34,20,0,249,8.8262805,4.9143239,"['23-05-13-001', '23-05-13-005', '23-05-13-006', '23-05-13-007', '23-05-13-009', '23-05-13-010', '23-05-13-011', '23-05-13-012']",8,1.027715896,1.229248047,1.64448068,0.448147478,2.582147754,78%,14%,0%,8%
KWARA,ILORIN EAST,IBAGUN,23-06-04-027,OPEN SPACE INFRONT OF ILE ELESIN META OKELELE,46,33,0,0,79,8.512175,4.5477392,"['23-06-04-004', '23-06-04-005', '23-06-04-007', '23-06-04-008', '23-06-04-010', '23-06-04-015', '23-06-04-017', '23-06-04-018', '23-06-04-021', '23-06-04-024', '23-06-04-026', '23-06-04-029', '23-06-04-034', '23-06-04-037', '23-06-04-039', '23-06-04-040', '23-06-04-041', '23-06-04-042', '23-06-04-045', '23-06-04-047']",20,0.310849483,1.229218371,0.484507723,0.437842422,0.587750742,58%,42%,0%,0%
KWARA,EDU,TSARAGI 11,23-03-06-003,OPEN SPACE PATI-TUNKU AREA,8,23,0,0,31,9.0899421,4.9558696,"['23-03-06-009', '23-03-06-012', '23-03-06-014', '23-03-06-016', '23-03-06-019', '23-03-06-020']",6,0.61000242,1.22719834,0.533429938,0.793398078,0.66668061,26%,74%,0%,0%
KWARA,EKITI,OKE-OPIN/ETAN,23-04-10-004,"OPEN SPACE ADETIFA, OKE-OPIN",45,23,6,0,74,8.0676809,5.2268307,"['23-04-07-002', '23-04-10-002', '23-04-10-003', '23-04-10-005']",4,0.684193009,1.2260327,0.355303215,0.447213595,1.869676856,61%,31%,0%,8%
KWARA,EKITI,ISAPA,23-04-02-003,OPEN SPACE IBERIKEDO ISAPA,38,58,1,0,97,8.1424976,5.3310018,"['23-04-02-001', '23-04-02-004', '23-04-02-005', '23-04-02-006', '23-04-09-012', '23-04-02-007']",6,0.292886087,1.225103172,0.706249628,0,0.472047644,39%,60%,0%,1%
KWARA,ILORIN EAST,GAMBARI 1,23-06-02-005,ODE KOLAWOLE I,91,110,5,0,206,8.5030369,4.5508381,"['23-06-02-001', '23-06-02-002', '23-06-02-003', '23-06-02-004', '23-06-02-006', '23-06-02-007', '23-06-02-008', '23-06-02-009', '23-06-02-010', '23-06-02-011', '23-06-02-012', '23-06-02-013', '23-06-02-014', '23-06-02-015', '23-06-02-016', '23-06-04-010', '23-06-07-001', '23-06-07-002', '23-06-07-003', '23-06-07-004', '23-06-07-005', '23-06-07-008', '23-06-07-009', '23-06-07-010', '23-06-07-011', '23-06-07-012', '23-06-07-013', '23-06-07-014', '23-06-07-015', '23-06-07-016', '23-06-07-017', '23-06-07-018', '23-06-07-019', '23-06-07-022', '23-06-07-023', '23-06-07-024', '23-06-07-025', '23-07-06-001', '23-07-06-002', '23-07-06-003', '23-07-06-004', '23-07-06-005', '23-07-06-006', '23-07-06-007', '23-07-06-008', '23-07-06-009', '23-07-06-011', '23-07-06-013', '23-07-06-014', '23-07-06-015', '23-07-06-016', '23-07-06-017', '23-07-06-018', '23-08-09-011', '23-08-09-013', '23-06-02-017', '23-06-02-018', '23-06-02-020', '23-06-02-021', '23-06-02-022', '23-06-02-023', '23-06-04-034', '23-06-04-042', '23-06-07-026', '23-06-07-028', '23-06-07-029', '23-06-07-030', '23-06-07-031', '23-06-07-032', '23-06-07-033', '23-06-07-034', '23-06-07-035', '23-06-12-027', '23-07-06-019', '23-07-06-020']",75,0.856989172,1.224658716,0.527346399,0.351044935,0.742545637,44%,53%,0%,2%
KWARA,KAIAMA,GWARI A (GWARIA),23-11-05-015,SOLADE KLGEA,40,2,1,55,98,9.4581635,3.8677308,"['23-11-05-006', '23-11-05-011', '23-11-05-013']",3,1.412840139,1.222958611,0.428370917,1.489746551,2.771605927,41%,2%,56%,1%
KWARA,ILORIN EAST,IPONRIN,23-06-06-006,ODE BALE ISAJE OJA IPONRIN,92,21,0,0,113,8.6408475,4.8209596,"['23-06-06-001', '23-06-06-002', '23-06-06-003', '23-06-06-005', '23-06-06-007', '23-06-06-008']",6,1.243387138,1.220317212,0.53037939,0.575216399,0.864003817,81%,19%,0%,0%
KWARA,BARUTEN,BORIYA/SHIYA,23-02-01-025,FEREKERU SHIYA OPEN SPACE,47,94,3,0,144,9.3964048,3.2986106,"['23-02-01-001', '23-02-01-003', '23-02-01-004', '23-02-01-005', '23-02-01-008', '23-02-01-009', '23-02-01-011', '23-02-01-013', '23-02-01-016', '23-02-01-018', '23-02-01-020', '23-02-01-021', '23-02-01-022', '23-02-01-023']",14,0.870583723,1.216985972,1.07682206,0.398986056,0.580189612,33%,65%,0%,2%
KWARA,BARUTEN,KIYORU/BWEN,23-02-08-005,KIYORU  L.G.E.A.SCH,83,0,2,0,85,8.8406165,2.895822,"['23-02-08-003', '23-02-08-007', '23-02-08-010', '23-02-08-020']",4,1.031895859,1.216677408,1.444874713,0,0.740282892,98%,0%,0%,2%
KWARA,IFELODUN,OKE-ODE 1,23-05-01-008,ILE ELEMOSHO OKE-ODE,73,38,1,0,112,8.5530802,5.0331337,"['23-05-01-002', '23-05-01-004', '23-05-01-006', '23-05-01-009', '23-05-01-010']",5,0.186209388,1.216286231,0.60480442,0.535717686,0.616050488,65%,34%,0%,1%
KWARA,EDU,TSONGA 111,23-03-10-004,L.G.E.A SCH BIDUGI,69,214,0,5,288,8.954311,5.2057909,"['23-03-10-001', '23-03-10-005', '23-03-10-006', '23-03-10-009', '23-03-10-010', '23-03-10-011', '23-03-10-012', '23-03-10-013']",8,1.270221145,1.215216887,0,0.397851004,1.123011577,24%,74%,2%,0%
KWARA,KAIAMA,KAIAMA 111,23-11-08-001,KABARU OPEN SPACE,196,30,9,2,237,9.6083182,3.9400298,"['23-11-07-004', '23-11-07-005', '23-11-07-006', '23-11-08-002', '23-11-08-004', '23-11-09-002', '23-11-07-009', '23-11-07-012', '23-11-08-005', '23-11-08-006', '23-11-08-007', '23-11-08-008']",12,1.009357094,1.215171316,1.504461026,0.019985476,0.705136219,83%,13%,1%,4%
KWARA,ISIN,EDIDI,23-10-02-005,MUSLIM COMMUNITY LGEA SCHOOL,31,6,2,0,39,8.2361849,4.9438203,"['23-10-02-001', '23-10-02-002', '23-10-02-003', '23-10-02-004']",4,1.490408214,1.211927959,1.338986462,0.682011986,1.889873796,79%,15%,0%,5%
KWARA,IFELODUN,IGBAJA 11,23-05-15-004,COMM SCH  ALASORO,20,17,1,3,41,8.4216036,4.8416936,"['23-05-15-001', '23-05-15-002', '23-05-15-003', '23-05-15-005', '23-05-15-006', '23-05-15-009']",6,0.375255852,1.210326278,0.234722651,2.251035473,1.764187977,49%,41%,7%,2%
KWARA,OFFA,OJOMU  CENTRAL 11,23-13-10-005,OPEN SPACE ST THOMAS L.G.E.A I,142,62,4,0,208,8.1536019,4.7206393,"['23-13-01-001', '23-13-01-007', '23-13-01-008', '23-13-01-009', '23-13-01-010', '23-13-03-001', '23-13-03-002', '23-13-03-003', '23-13-03-004', '23-13-03-005', '23-13-03-006', '23-13-03-007', '23-13-03-008', '23-13-05-002', '23-13-05-004', '23-13-05-006', '23-13-08-004', '23-13-09-001', '23-13-09-002', '23-13-09-003', '23-13-09-004', '23-13-09-005', '23-13-09-006', '23-13-10-001', '23-13-10-002', '23-13-10-003', '23-13-10-004', '23-13-11-003', '23-13-11-004', '23-13-01-011', '23-13-01-013', '23-13-01-015', '23-13-01-016', '23-13-01-017', '23-13-01-018', '23-13-05-007', '23-13-05-008', '23-13-05-010', '23-13-09-007', '23-13-09-008', '23-13-09-009', '23-13-09-010', '23-13-09-011', '23-13-09-012', '23-13-10-007', '23-13-10-008', '23-13-10-009', '23-13-10-010', '23-13-10-011', '23-13-11-013', '23-13-03-009', '23-13-03-010', '23-13-03-011', '23-13-03-012', '23-13-03-013', '23-13-03-014']",56,0.517913958,1.209430344,0.292839364,0.527517607,0.945255727,68%,30%,0%,2%
KWARA,ILORIN EAST,ZANGO,23-06-12-018,ODE ILE MAYAKI,44,44,3,0,91,8.5041799,4.5701803,"['23-06-12-001', '23-06-12-002', '23-06-12-003', '23-06-12-004', '23-06-12-005', '23-06-12-006', '23-06-12-010', '23-06-12-011', '23-06-12-012', '23-06-12-014', '23-06-12-015', '23-06-12-016', '23-06-12-017', '23-06-03-027', '23-06-08-030', '23-06-12-019', '23-06-12-020', '23-06-12-022', '23-06-12-023', '23-06-12-024', '23-06-12-025', '23-06-12-026', '23-06-12-028', '23-06-12-029', '23-06-12-030', '23-06-12-031']",26,1.208430753,1.208727686,0.147528694,0.770615819,0.477816106,48%,48%,0%,3%
